Codigo;Mes;Segmento;Porte;Plano;Valor;Status;Chamados;Reabertos;SLA%;Uso;Reclamacoes;Atraso;"Reunioes previstas";"Reunioes realizadas";NPS
B001;2026-01;Varejo;Grande;Avancado;18500;Ativo;3;0;95;92;0;0;1;1;
B001;2026-02;Varejo;Grande;Avancado;18500;Ativo;5;0;95;92;0;0;1;1;
B001;2026-03;Varejo;Grande;Avancado;18500;Ativo;4;0;95;92;0;0;1;1;9
B001;2026-04;Varejo;Grande;Avancado;18500;Ativo;4;0;95;92;0;0;1;1;
B001;2026-05;Varejo;Grande;Avancado;18500;Ativo;3;0;95;92;0;0;1;1;
B001;2026-06;Varejo;Grande;Avancado;18500;Ativo;5;0;95;92;0;0;1;1;9
B002;2026-01;Saude;Medio;Essencial;7200;Ativo;5;0;88,3;86;0;2;1;1;
B002;2026-02;Saude;Medio;Essencial;7200;Ativo;7;1;81,5;80;1;4;1;1;
B002;2026-03;Saude;Medio;Essencial;7200;Ativo;8;1;74,8;74;1;5;1;1;6
B002;2026-04;Saude;Medio;Essencial;7200;Ativo;10;2;68;68;2;7;1;1;
B002;2026-05;Saude;Medio;Essencial;7200;Ativo;10;2;61,3;62;2;9;1;0;
B002;2026-06;Saude;Medio;Essencial;7200;Ativo;11;3;54,5;56;3;11;1;0;4
B003;2026-01;Logistica;Pequeno;Essencial;3100;Ativo;6;0;92;89,3;0;1;1;1;
B003;2026-02;Logistica;Pequeno;Essencial;3100;Ativo;4;0;89;86,7;0;2;1;1;
B003;2026-03;Logistica;Pequeno;Essencial;3100;Ativo;5;0;86;84;1;2;1;1;8
B003;2026-04;Logistica;Pequeno;Essencial;3100;Ativo;6;0;83;81,3;1;3;1;1;
B003;2026-05;Logistica;Pequeno;Essencial;3100;Ativo;8;1;80;78,7;1;4;1;1;
B003;2026-06;Logistica;Pequeno;Essencial;3100;Ativo;7;1;77;76;1;5;1;1;7
B004;2026-01;Educacao;Medio;Avancado;9800;Ativo;4;0;89,8;87,3;0;1;1;1;
B004;2026-02;Educacao;Medio;Avancado;9800;Ativo;6;0;84,5;82,7;1;3;1;1;
B004;2026-03;Educacao;Medio;Avancado;9800;Ativo;7;1;79,3;78;1;4;1;1;7
B004;2026-04;Educacao;Medio;Avancado;9800;Ativo;9;1;74;73,3;1;6;1;1;
B004;2026-05;Educacao;Medio;Avancado;9800;Ativo;9;2;68,8;68,7;2;7;1;1;
B004;2026-06;Educacao;Medio;Avancado;9800;Ativo;11;2;63,5;64;2;8;1;0;5
B005;2026-01;Varejo;Pequeno;Essencial;2500;Cancelado;6;0;87,5;85,3;1;2;1;1;
B005;2026-02;Varejo;Pequeno;Essencial;2500;Cancelado;7;1;80;78,7;1;4;1;1;
B005;2026-03;Varejo;Pequeno;Essencial;2500;Cancelado;9;1;72,5;72;2;6;1;1;6
B005;2026-04;Varejo;Pequeno;Essencial;2500;Cancelado;8;2;65;65,3;2;8;1;0;
B005;2026-05;Varejo;Pequeno;Essencial;2500;Cancelado;11;3;57,5;58,7;3;10;1;0;
B006;2026-01;Industria;Grande;Avancado;22000;Ativo;4;0;94,3;91,3;0;0;1;1;
B006;2026-02;Industria;Grande;Avancado;22000;Ativo;3;0;93,5;90,7;0;0;1;1;
B006;2026-03;Industria;Grande;Avancado;22000;Ativo;3;0;92,8;90;0;1;1;1;9
B006;2026-04;Industria;Grande;Avancado;22000;Ativo;5;0;92;89,3;0;1;1;1;
B006;2026-05;Industria;Grande;Avancado;22000;Ativo;5;0;91,3;88,7;0;1;1;1;
B006;2026-06;Industria;Grande;Avancado;22000;Ativo;6;0;90,5;88;0;1;1;1;8
